"Amps","Latency","ID","Day","Sex","Weight","BL","Treatment","Surgery","DP1","EODonset"
0.594427367377291,9.8036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.660644521566684,10.0036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.770114030738722,10.2036,"CT_In_BB1295",2,"Female",5.9,8,"Vehicle","Intact",2.86368,2.536
0.9790317799585,0.2095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.985241118929128,0.4095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.995959249262839,0.6095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.988548606019008,0.8095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.974897421096154,1.0095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.978891367770725,1.2095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
1,1.4095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.976504360578503,1.6095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.99823704697568,1.8095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.987940153205301,2.0095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.92970029798587,2.2095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.72572819320717,2.4095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.151879183113095,2.6095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.00850273803766169,2.8095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0,3.0095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.0149929013838402,3.2095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.0393154125778119,3.4095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.0957923147729225,3.6095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.203504064152769,3.8095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
0.232600589731189,4.0095,"CT_In_BB1308",1,"Male",2.6,6.4,"Vehicle","Intact",2.92004,2.577
